"R","n","omega","onTop","density"
0.29000000000000004,5,0.017346203222173808,1.002922933392027e-9,0.00016527483546137204
0.29000000000000004,6,0.009578428015559567,1.7556727339872645e-11,0.000044006056119691304
0.29000000000000004,7,0.005841703755277117,3.9068603813941406e-13,0.000013579160145781444
0.29000000000000004,8,0.0038233443006634154,1.029943963856509e-14,4.654451866472766e-6
0.29000000000000004,9,0.002638092180116395,3.080745113481451e-16,1.7261158266624675e-6
0.29000000000000004,10,0.0018965588221806899,1.0162521876474198e-17,6.805842222003838e-7
0.3,2,0.5,0.00973358145963852,0.08657137699954325
0.3,3,0.1,0.000013098738254447936,0.005337466101149491
0.3,4,0.03653726559926414,8.277739356040996e-8,0.0007758432525504786
0.3,5,0.017346203222173808,1.0027176709206166e-9,0.00016528204618120485
0.3,6,0.009578428015559567,1.755474309499148e-11,0.000044008087762883335
0.3,7,0.005841703755277117,3.9065910825685706e-13,0.000013579726062419527
0.3,8,0.0038233443006634154,1.0298974985061361e-14,4.654620094075955e-6
0.3,9,0.002638092180116395,3.0806492129569306e-16,1.7261694486402817e-6
0.3,10,0.0018965588221806899,1.0162294447936922e-17,6.806024218036547e-7
0.31,2,0.5,0.009674387338355628,0.0863874370521689
0.31,3,0.1,0.000013082767537895508,0.0053363602393313725
0.31,4,0.03653726559926414,8.27405033757139e-8,0.0007758499905334071
0.31,5,0.017346203222173808,1.0025054945693487e-9,0.0001652894993874544
0.31,6,0.009578428015559567,1.7552691823360937e-11,0.00004401018809570591
0.31,7,0.005841703755277117,3.906312674486464e-13,0.000013580311142666025
0.31,8,0.0038233443006634154,1.0298494602631915e-14,4.654794021922765e-6
0.31,9,0.002638092180116395,3.0805500647059685e-16,1.7262248880697476e-6
0.31,10,0.0018965588221806899,1.0162059315309082e-17,6.806212383463752e-7
0.32,2,0.5,0.009613630283799664,0.0861977736997224
0.32,3,0.1,0.000013066293631538262,0.005335217593016788
0.32,4,0.03653726559926414,8.270242093436417e-8,0.0007758569193846421
0.32,5,0.017346203222173808,1.0022864087452505e-9,0.00016529719488586655
0.32,6,0.009578428015559567,1.7550573548530514e-11,0.000044012357100202407
0.32,7,0.005841703755277117,3.9060251590980555e-13,0.000013580915384520332
0.32,8,0.0038233443006634154,1.0297998493479706e-14,4.654973649774453e-6
0.32,9,0.002638092180116395,3.0804476690423366e-16,1.726282144926602e-6
0.32,10,0.0018965588221806899,1.0161816479125677e-17,6.80640671828917e-7
0.33,2,0.5,0.009551344335584952,0.08600241672511898
0.33,3,0.1,0.000013049318486052492,0.005334038112318515
0.33,4,0.03653726559926414,8.266314789799144e-8,0.0007758640362074116
0.33,5,0.017346203222173808,1.0020604179982094e-9,0.00016530513247585473
0.33,6,0.009578428015559567,1.7548388294816993e-11,0.00004401459475782857
0.33,7,0.005841703755277117,3.905728538417283e-13,0.000013581538785916265
0.33,8,0.0038233443006634154,1.0297486659879739e-14,4.65515897738444e-6
0.33,9,0.002638092180116395,3.080342026290076e-16,1.7263412191857842e-6
0.33,10,0.0018965588221806899,1.0161565939939238e-17,6.806607222516637e-7
0.34,2,0.5,0.009487564230479202,0.08580139685757385
0.34,3,0.1,0.000013031844109728068,0.005332821745936906
0.34,4,0.03653726559926414,8.262268597963805e-8,0.0007758713380147576
0.34,5,0.017346203222173808,1.0018275270208153e-9,0.000165313311950503
0.34,6,0.009578428015559567,1.7546136087304005e-11,0.000044016901049452465
0.34,7,0.005841703755277117,3.905422814521756e-13,0.000013582181344722038
0.34,8,0.0038233443006634154,1.0296959104179044e-14,4.655350004498307e-6
0.34,9,0.002638092180116395,3.080233136783497e-16,1.726402110821436e-6
0.34,10,0.0018965588221806899,1.0161307698319804e-17,6.806813896150108e-7
0.35000000000000003,2,0.5,0.00942232537019186,0.08559474577173579
0.35000000000000003,3,0.1,0.000013013872568072471,0.005331568441175697
0.35000000000000003,4,0.03653726559926414,8.258103694363363e-8,0.0007758788217297048
0.35000000000000003,5,0.017346203222173808,1.0015877406481977e-9,0.00016532173309657039
0.35000000000000003,6,0.009578428015559567,1.7543816951841523e-11,0.0000440192759553548
0.35000000000000003,7,0.005841703755277117,3.9051079895527374e-13,0.00001358284305874029
0.35000000000000003,8,0.0038233443006634154,1.0296415828796668e-14,4.655546730853805e-6
0.35000000000000003,9,0.002638092180116395,3.0801210008671757e-16,1.7264648198069008e-6
0.35000000000000003,10,0.0018965588221806899,1.0161041754854934e-17,6.80702673919365e-7
0.36000000000000004,2,0.5,0.00935566378871171,0.08538249608665835
0.36000000000000004,3,0.1,0.000012995405983403925,0.005330278143958233
0.36000000000000004,4,0.03653726559926414,8.253820260546671e-8,0.000775886484185429
0.36000000000000004,5,0.017346203222173808,1.001341063857859e-9,0.000165330395694494
0.36000000000000004,6,0.009578428015559567,1.7541430915045382e-11,0.00004402171945522876
0.36000000000000004,7,0.005841703755277117,3.9047840657151154e-13,0.000013583523925708072
0.36000000000000004,8,0.0038233443006634154,1.0295856836223652e-14,4.655749156180839e-6
0.36000000000000004,9,0.002638092180116395,3.0800056188959543e-16,1.7265293461147247e-6
0.36000000000000004,10,0.0018965588221806899,1.0160768110149698e-17,6.807245751651453e-7
0.37,2,0.5,0.009287616119235793,0.08516468136459929
0.37,3,0.1,0.000012976446534433733,0.005328950798844159
0.37,4,0.03653726559926414,8.249418483165295e-8,0.0007758943221254348
0.37,5,0.017346203222173808,1.0010875017695022e-9,0.00016533929951839332
0.37,6,0.009578428015559567,1.7538978004296773e-11,0.0000440242315281804
0.37,7,0.005841703755277117,3.904451045277379e-13,0.000013584223943296853
0.37,8,0.0038233443006634154,1.029528212902301e-14,4.655957280201486e-6
0.37,9,0.002638092180116395,3.0798869912349353e-16,1.7265956897166551e-6
0.37,10,0.0018965588221806899,1.0160486764826675e-17,6.807470933527813e-7
0.38,2,0.5,0.009218219560731976,0.08494133610963679
0.38,3,0.1,0.000012956996455837918,0.005327586349046546
0.38,4,0.03653726559926414,8.244898553959953e-8,0.0007759023322037351
0.38,5,0.017346203222173808,1.0008270596448536e-9,0.0001653484443360738
0.38,6,0.009578428015559567,1.7536458247741698e-11,0.00004402681215272856
0.38,7,0.005841703755277117,3.904108930571591e-13,0.00001358494310911251
0.38,8,0.0038233443006634154,1.0294691709829715e-14,4.656171102629978e-6
0.38,9,0.002638092180116395,3.079765118259484e-16,1.7266638505836403e-6
0.38,10,0.0018965588221806899,1.0160197719525958e-17,6.807702284827153e-7
0.39,2,0.5,0.009147511844177772,0.08471249576609303
0.39,3,0.1,0.000012937058037818299,0.005326184736449437
0.39,4,0.03653726559926414,8.240260669746596e-8,0.0007759105109850378
0.39,5,0.017346203222173808,1.000559742887481e-9,0.00016535782990903126
0.39,6,0.009578428015559567,1.753387167429046e-11,0.000044029461306805046
0.39,7,0.005841703755277117,3.9037577239933616e-13,0.000013585681420695348
0.39,8,0.0038233443006634154,1.0294085581350674e-14,4.656390623172707e-6
0.39,9,0.002638092180116395,3.079640000355224e-16,1.7267338286858314e-6
0.39,10,0.0018965588221806899,1.0159900974905143e-17,6.807939805554e-7
0.4,2,0.5,0.009075531198518075,0.08447819671675416
0.4,3,0.1,0.000012916633625653115,0.005324745901625844
0.4,4,0.03653726559926414,8.235505032402125e-8,0.0007759188549449358
0.4,5,0.017346203222173808,1.0002855570426065e-9,0.00016536745599245596
0.4,6,0.009578428015559567,1.7531218313617088e-11,0.000044032178967754775
0.4,7,0.005841703755277117,3.9033974280018187e-13,0.000013586438875520081
0.4,8,0.0038233443006634154,1.0293463746364707e-14,4.656615841528223e-6
0.4,9,0.002638092180116395,3.079511637918035e-16,1.7268056239925783e-6
0.4,10,0.0018965588221806899,1.0159596531639324e-17,6.808183495713003e-7
0.41000000000000003,2,0.5,0.009002316316384647,0.08423847628087647
0.41000000000000003,3,0.1,0.000012895725619237335,0.005323269783856155
0.41000000000000003,4,0.03653726559926414,8.230631848849746e-8,0.0007759273604701032
0.41000000000000003,5,0.017346203222173808,1.000004507796915e-9,0.00016537732233523665
0.41000000000000003,6,0.009578428015559567,1.7528498196158785e-11,0.00004403496511233589
0.41000000000000003,7,0.005841703755277117,3.9030280451195814e-13,0.000013587215470995847
0.41000000000000003,8,0.0038233443006634154,1.0292826207722532e-14,4.65684675738724e-6
0.41000000000000003,9,0.002638092180116395,3.079380031354053e-16,1.7268792364724345e-6
0.41000000000000003,10,0.0018965588221806899,1.0159284390421104e-17,6.808433355308922e-7
0.42000000000000004,2,0.5,0.008927906319620128,0.08399337271196873
0.42000000000000004,3,0.1,0.00001287433647261276,0.005321756321146972
0.42000000000000004,4,0.03653726559926414,8.225641331043966e-8,0.0007759360238584963
0.42000000000000004,5,0.017346203222173808,9.997166009783583e-10,0.0001653874286799656
0.42000000000000004,6,0.009578428015559567,1.752571135311533e-11,0.00004403781971671986
0.42000000000000004,7,0.005841703755277117,3.9026495779327283e-13,0.000013588011204466196
0.42000000000000004,8,0.0038233443006634154,1.0292172968346736e-14,4.657083370432625e-6
0.42000000000000004,9,0.002638092180116395,3.079245181079665e-16,1.7269546660931514e-6
0.42000000000000004,10,0.0018965588221806899,1.0158964551960583e-17,6.808689384346626e-7
