"n","Z","alpha","beta"
5,2,63.8081045376565,0.25414145034375
5,3,161.2669,0.2610155
5,4,288.490355325003,0.266609454015625
5,5,458.626677665621,0.2691281709375
5,6,667.436574687495,0.270803682
5,7,915.534221214844,0.271959002109375
