"R","n","onTop","density","density2","indicator"
0.01,2,0.010649169551283541,0.08931616280298246,0.007977376937848868,2.669842389108702
0.01,3,0.00001333638359776031,0.005353705162103156,0.000028662158962729977,0.930591698629674
0.01,4,8.332298152976933e-8,0.0007757406241274557,6.017735159216545e-7,0.2769247210959587
0.01,5,1.0058498761566995e-9,0.00016517197362319,2.7281780870579773e-8,0.07373784584872109
0.01,6,1.7585001945812986e-11,0.00004397711249556621,1.9339864234476855e-9,0.018185238254635205
0.02,2,0.01064597527958287,0.08930689776403829,0.007975721988236387,2.669595378395815
0.02,3,0.000013335583438749457,0.005353651156631219,0.000028661580706898792,0.9305546386378897
0.02,4,8.332115491344726e-8,0.0007757409769802304,6.017740633662423e-7,0.27691839840142013
0.02,5,1.0058394076053586e-9,0.0001651723416547405,2.7281902447710323e-8,0.07373674981304504
0.02,6,1.7584900884098213e-11,0.00004397721592729233,1.9339955207156945e-9,0.018185048202790814
0.03,2,0.010640653622468224,0.08929145760161956,0.007972964400621825,2.6691837785299386
0.03,3,0.000013334249947081276,0.005353561144734266,0.000028660616930408465,0.9304928766508056
0.03,4,8.331811064189517e-8,0.0007757415649135059,6.017749755344551e-7,0.27690786100866943
0.03,5,1.0058219602619085e-9,0.00016517295503001416,2.728210507334708e-8,0.0737349231342514
0.03,6,1.7584732449197605e-11,0.000043977388312520454,1.9340106827902106e-9,0.018184731455389885
0.04,2,0.01063320777128445,0.08926984466953855,0.007969105167323541,2.668607716430892
0.04,3,0.000013332383282758236,0.005353435122247591,0.000028659267608114075,0.930406419666045
0.04,4,8.331384884858323e-8,0.0007757423876952684,6.017762520671561e-7,0.2768931095648676
0.04,5,1.0057975344895167e-9,0.00016517381373304537,2.7282388743118767e-8,0.07373236588333575
0.04,6,1.7584496643047154e-11,0.000043977629649777524,1.9340319096129914e-9,0.018184288020941592
0.05,2,0.010623642189447797,0.08924206226329173,0.007964145677005239,2.6678673696593176
0.05,3,0.00001332998366973899,0.005353273083342376,0.000028657532704837988,0.9302952774778556
0.05,4,8.330836972035608e-8,0.0007757434450007166,6.017778924615798e-7,0.2768741449759219
0.05,5,1.0057661307966e-9,0.00016517491774148277,2.72827534509056e-8,0.07372907815968373
0.05,6,1.758419346835719e-11,0.00004397793993700116,1.9340592011024816e-9,0.018183717911358227
0.060000000000000005,2,0.010611962607986898,0.08920811462021677,0.007958087714093733,2.666962966289795
0.060000000000000005,3,0.000013327051395893597,0.0053530750205274605,0.00002865541217539507,0.930159462674688
0.060000000000000005,4,8.330167349741908e-8,0.0007757447364122791,6.017798960713564e-7,0.2768509684063674
0.060000000000000005,5,1.0057277498368077e-9,0.00016517626702658948,2.7283199188839194e-8,0.07372506009106318
